DATE,CPIAUCSL,CPI_Change
2021-08-01,272.789,1.6155588336089766
2021-09-01,273.887,1.1907752785741854
2021-10-01,276.434,1.632388949756236
2021-11-01,278.799,2.2031680163056455
2021-12-01,280.808,2.5269545469482013
2022-01-01,282.39,2.1545830107728925
2022-02-01,284.535,2.057396188652061
2022-03-01,287.553,2.4019970940998947
2022-04-01,288.764,2.2571620808102377
2022-05-01,291.359,2.398298979035962
2022-06-01,294.996,2.588392400705253
2022-07-01,294.977,2.151583992464423
2022-08-01,295.209,1.321393881774724
2022-09-01,296.341,0.4559383856052479
2022-10-01,297.863,0.978381365326797
2022-11-01,298.648,1.1649373833453769
2022-12-01,298.812,0.8338366948886566
2023-01-01,300.356,0.8369619590214317
2023-02-01,301.509,0.9579839811416857
2023-03-01,301.744,0.9812189604165855
